City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
east london,74,ZA,1561152815,17,-33.02,27.91,61.97,6.29
kenai,40,US,1561152695,67,60.55,-151.26,62.01,6.93
yar-sale,100,RU,1561152815,68,66.83,70.83,39.11,11.45
hilo,40,US,1561152816,62,19.71,-155.08,86,12.75
pangnirtung,90,CA,1561152816,81,66.15,-65.72,48.2,18.34
port elizabeth,1,US,1561152816,42,39.31,-74.98,82,17.22
lavrentiya,99,RU,1561152816,46,65.58,-170.99,65.39,0.34
metro,24,ID,1561152817,91,-5.11,105.31,72.41,3.06
aksu,0,KZ,1561152817,87,52.04,76.93,57.2,4.47
pastavy,100,BY,1561152817,89,55.11,26.84,65.93,4.56
rikitea,100,PF,1561152817,82,-23.12,-134.97,75.29,23.55
hermanus,100,ZA,1561152817,74,-34.42,19.24,62.01,17
porto nacional,0,BR,1561152818,40,-10.7,-48.41,86,3.36
narsaq,2,GL,1561152818,50,60.91,-46.05,57.2,14.99
port alfred,74,ZA,1561152818,35,-33.59,26.89,66,5.01
longyearbyen,40,NO,1561152818,70,78.22,15.63,44.6,10.29
barrow,100,AR,1561152818,84,-38.31,-60.23,53.15,8.84
arraial do cabo,20,BR,1561152819,78,-22.97,-42.02,71.6,3.36
yellowknife,75,CA,1561152819,42,62.45,-114.38,62.6,14.99
bandar-e anzali,75,IR,1561152819,61,37.47,49.46,80.6,3.89
jacksonville,40,US,1561152748,56,30.33,-81.66,98.6,11.41
san patricio,0,PY,1561152819,86,-26.98,-56.83,72.41,5.91
ulety,66,RU,1561152819,57,51.36,112.48,59.27,4.85
punta arenas,0,CL,1561152820,93,-53.16,-70.91,39.2,9.17
katobu,33,ID,1561152820,87,-4.94,122.53,74.39,7.27
sobolevo,100,RU,1561152820,93,54.43,31.9,66.11,7.87
tiksi,93,RU,1561152558,57,71.64,128.87,52.97,8.32
atuona,21,PF,1561152820,75,-9.8,-139.03,81.59,17.47
poum,20,MK,1561152821,82,41.28,20.71,62.6,2.24
newport,0,GB,1561152666,76,51.59,-3,57.99,5.82
qaanaaq,44,GL,1561152821,67,77.48,-69.36,32.09,6.08
georgetown,40,GY,1561152822,79,6.8,-58.16,84.2,9.17
sao jose da coroa grande,1,BR,1561152822,90,-8.9,-35.15,71.87,4.09
maihar,5,IN,1561152822,43,24.26,80.76,90.05,5.35
vanimo,21,PG,1561152822,82,-2.67,141.3,80.33,7.09
passo de camaragibe,40,BR,1561152823,69,-9.24,-35.49,78.8,5.82
airai,99,TL,1561152823,86,-8.93,125.41,67.55,4.45
vaini,100,IN,1561152823,89,15.34,74.49,77.81,1.28
ushuaia,90,AR,1561152823,93,-54.81,-68.31,35.6,9.17
lalmohan,93,BD,1561152823,82,22.34,90.74,83.39,11.16
berdigestyakh,100,RU,1561152542,90,62.1,126.7,61.97,2.21
lompoc,90,US,1561152824,68,34.64,-120.46,73.4,12.75
rawson,0,AR,1561152824,45,-43.3,-65.11,55.49,16.37
taltal,19,CL,1561152824,69,-25.41,-70.49,61.79,3.42
ribeira grande,40,PT,1561152824,72,38.52,-28.7,66.2,19.46
mataura,100,NZ,1561152824,95,-46.19,168.86,43,3.51
hobart,75,AU,1561152604,75,-42.88,147.33,45,1.97
kapaa,75,US,1561152825,74,22.08,-159.32,86,16.11
albany,75,US,1561152825,47,42.65,-73.75,75.99,8.05
la rioja,87,AR,1561152825,66,-29.41,-66.86,53.69,4.36
esperance,20,TT,1561152826,62,10.24,-61.45,88,13.87
kahului,90,US,1561152621,83,20.89,-156.47,82,9.17
khatanga,0,RU,1561152826,38,71.98,102.47,53.69,6.6
santa maria,0,BR,1561152827,72,-29.69,-53.81,66.2,5.82
busselton,52,AU,1561152827,80,-33.64,115.35,59,19.69
kamloops,40,CA,1561152827,33,50.68,-120.34,77,13.87
coquimbo,0,CL,1561152827,72,-29.95,-71.34,66,9.17
yumen,2,CN,1561152827,65,40.29,97.04,60.35,1.77
tasiilaq,89,GL,1561152828,81,65.61,-37.64,42.8,5.82
makakilo city,75,US,1561152828,74,21.35,-158.09,82.99,10.29
kungurtug,96,RU,1561152828,94,50.6,97.53,47.39,1.9
bethel,75,US,1561152558,67,60.79,-161.76,60.8,6.93
goalpara,100,IN,1561152726,84,26.18,90.62,79.97,0.83
ponta do sol,10,BR,1561152829,82,-20.63,-46,62.69,6.11
new norfolk,75,AU,1561152829,75,-42.78,147.06,45,1.97
chokurdakh,0,RU,1561152830,48,70.62,147.9,55.31,14.99
hasaki,75,JP,1561152830,94,35.73,140.83,70,4.7
ostrovnoy,100,RU,1561152830,88,68.05,39.51,43.25,10.38
caravelas,0,BR,1561152830,75,-17.73,-39.27,75.29,10.22
cape town,75,ZA,1561152801,82,-33.93,18.42,61,24.16
faanui,73,PF,1561152830,73,-16.48,-151.75,79.07,7.47
brownsville,90,US,1561152831,67,25.91,-97.49,95,24.16
kushima,75,JP,1561152831,100,31.5,131.29,64.4,2.24
port blair,97,IN,1561152659,82,11.67,92.75,83.93,9.95
bluff,0,AU,1561152831,63,-23.58,149.07,40.19,3.98
natal,75,BR,1561152752,65,-5.81,-35.21,80.6,16.11
sioux lookout,75,CA,1561152831,26,50.1,-91.92,80.6,8.05
hrubieszow,91,PL,1561152832,87,50.8,23.89,65.93,3.09
todos santos,5,MX,1561152832,11,23.45,-110.23,102,19.46
avarua,33,CK,1561152543,46,-21.21,-159.78,73.4,4.7
ust-ilimsk,0,RU,1561152832,67,57.96,102.73,52.61,0.69
nikolskoye,75,RU,1561152832,94,59.7,30.79,68,8.95
anadyr,0,RU,1561152833,59,64.73,177.51,60.8,13.42
bredasdorp,33,ZA,1561152833,44,-34.53,20.04,62.01,11.41
coihaique,75,CL,1561152725,93,-45.58,-72.07,46.4,6.93
haines junction,41,CA,1561152833,32,60.75,-137.51,66.29,6.4
sola,0,FI,1561152833,100,62.78,29.36,63,2.24
saint-francois,100,FR,1561152834,88,46.42,3.91,64.4,6.93
padang,100,ID,1561152834,81,-0.92,100.36,80.51,20.27
saint george,0,GR,1561152834,50,39.45,22.34,80.01,4.09
clyde river,75,CA,1561152834,66,70.47,-68.59,35.6,8.05
saskylakh,58,RU,1561152835,58,71.97,114.09,52.07,14.85
roros,100,NO,1561152835,87,62.57,11.38,48.2,3.36
haapsalu,50,EE,1561152835,81,58.95,23.55,63,10
srednekolymsk,55,RU,1561152835,50,67.46,153.71,65.39,8.84
luwuk,90,ID,1561152835,97,-0.95,122.79,63.77,4.7
dunedin,100,NZ,1561152709,76,-45.87,170.5,46,5.01
dori,0,BF,1561152836,24,14.03,-0.03,98.51,7.92
tierralta,90,CO,1561152836,73,8.17,-76.06,85.37,4.12
codrington,0,AU,1561152836,93,-28.95,153.24,48.99,5.82
constitucion,75,MX,1561152836,21,23.99,-104.67,84,12.75
hay river,90,CA,1561152837,93,60.82,-115.79,44.6,5.82
port-gentil,40,GA,1561152837,88,-0.72,8.78,75.2,5.82
khani,75,GE,1561152837,100,41.96,42.96,68,3.36
micheweni,3,TZ,1561152837,70,-4.97,39.83,79.07,16.75
jamestown,96,AU,1561152838,67,-33.21,138.6,42.35,8.12
carnarvon,0,ZA,1561152838,84,-30.97,22.13,44.69,20.27
omboue,100,GA,1561152838,79,-1.57,9.26,75.11,9.4
harper,40,US,1561152838,58,30.3,-99.24,93.2,11.41
saint-augustin,79,FR,1561152838,93,44.83,-0.61,63,4.7
tura,100,IN,1561152839,94,25.52,90.21,78.35,7.02
evensk,100,RU,1561152839,65,61.92,159.24,55.49,9.46
kamaishi,100,JP,1561152839,97,39.28,141.86,59.81,2.91
lata,12,IN,1561152839,84,30.78,78.62,36.77,1.9
ternate,20,PH,1561152840,83,14.29,120.72,84.99,4.7
kansanshi,0,ZM,1561152840,64,-12.1,26.43,49.55,3.51
cidreira,31,BR,1561152840,85,-30.17,-50.22,61.61,7.83
porto velho,40,BR,1561152738,52,-8.75,-63.87,89.6,5.82
garmsar,0,IR,1561152840,27,35.22,52.34,77.09,2.44
faya,5,SA,1561152840,17,18.39,42.45,75.2,5.82
torbay,90,CA,1561152841,100,47.66,-52.73,46,10.29
douentza,13,ML,1561152841,19,15.01,-2.95,99.23,7.16
sarakhs,0,TM,1561152841,13,36.54,61.16,84.83,4.83
